Method,Total Tests,Successful Tests,Completion Rate,Avg Processing Time (ms),Avg Precision,Avg Recall,Avg F1 Score,Avg Verification Accuracy,Avg Publication Count Accuracy,Avg Link Provision Rate,Avg Metadata Richness,Total Input Tokens,Total Output Tokens,Total API Calls,,
,,,,,,,,,,,Total Input Tokens," 493,380.00 "," 1,225,000.00 "," 621,250.00 "," 645,050.00 "," 1,330,350.00 "
,,,,,,,,,,,Total Output Tokens," 328,920.00 "," 525,000.00 "," 266,250.00 "," 276,450.00 "," 570,150.00 "
,,,,,,,,,,,API cost,75$/month (Serp API),"Input: 0.1$
Output: 0.4$
(Per 1M tokens)","Input: 3$
Output: 15$
(Per 1M tokens)","Input: 3$
Output: 12$
(Per 1M tokens)","Input: 0.20$
Output: 1.50$
(Per 1M tokens)"
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Method,Avg Processing Time (ms),Avg F1 Score,Completion Rate,,,,,,,,,,,,,
Traditional,30056.45,0.607,0.993,,,,,,,,,,,,,
Gemini AI,21153.81,0.445,1,,,,,,,,,,,,,
Claude AI,43870.91,0.468,0.89,,,,,,,,,,,,,
ChatGPT AI,45427.81,0.465,0.846,,,,,,,,,,,,,
Grok AI,54263.16,0.496,0.978,,,,,,,,,,,,,
