"CV Name","Method","Success","Processing Time (ms)","Time Per Publication (ms)","Total Publications","Verified Publications","Verified With Author Match","Link Provision Rate","Citation Count Availability","Metadata Richness","Input Tokens","Output Tokens","Total Tokens","API Calls","Error"
"academics-rmit-edu-au-sol-abdulhak-publications...","Claude AI","true","10294.37","5147.18","2","2","2","1.000","0.000","0.400","700","300","1000","1",""
"academics-rmit-edu-au-sol-abdulhak-publications...","ChatGPT AI","true","5790.33","2895.16","2","2","2","1.000","0.000","0.400","700","300","1000","1",""
"academics-rmit-edu-au-sol-abdulhak-publications...","Grok AI","true","27979.51","13989.76","2","2","2","1.000","0.000","0.400","700","300","1000","1",""
"academics-rmit-edu-au-sylvester-abanteriba-publications","Traditional","true","14861.38","4953.79","3","3","","1.000","0.000","0.400","540","360","900","6",""
"academics-rmit-edu-au-sylvester-abanteriba-publications","Gemini AI","true","19331.84","773.27","25","25","19","1.000","0.000","0.400","8750","3750","12500","5",""
"academics-rmit-edu-au-sylvester-abanteriba-publications","Claude AI","true","79085.99","3163.44","25","24","24","1.000","0.000","0.400","8750","3750","12500","5",""
"academics-rmit-edu-au-sylvester-abanteriba-publications","ChatGPT AI","true","116424.57","4656.98","25","24","22","1.000","0.000","0.400","8750","3750","12500","5",""
"academics-rmit-edu-au-sylvester-abanteriba-publications","Grok AI","true","57409.46","2296.38","25","23","18","1.000","0.000","0.400","8750","3750","12500","5",""
"academics-rmit-edu-au-tor-helge-aas-publications...","Traditional","true","5416.16","2708.08","2","2","2","1.000","0.000","0.400","360","240","600","4",""
"academics-rmit-edu-au-tor-helge-aas-publications...","Gemini AI","true","4391.70","2195.85","2","2","2","1.000","0.000","0.400","700","300","1000","1",""
"academics-rmit-edu-au-tor-helge-aas-publications...","Claude AI","true","11682.97","5841.49","2","2","2","1.000","0.000","0.400","700","300","1000","1",""
"academics-rmit-edu-au-tor-helge-aas-publications...","ChatGPT AI","true","6413.84","3206.92","2","2","2","1.000","0.000","0.400","700","300","1000","1",""
"academics-rmit-edu-au-tor-helge-aas-publications...","Grok AI","true","11380.65","5690.32","2","2","2","1.000","0.000","0.400","700","300","1000","1",""
"academics-rmit-edu-au-trevor-abbott-publications","Traditional","true","10778.58","","","","","0.000","0.000","0.000","","","","",""
"academics-rmit-edu-au-trevor-abbott-publications","Gemini AI","true","18336.22","733.45","25","25","17","1.000","0.000","0.400","8750","3750","12500","5",""
"academics-rmit-edu-au-trevor-abbott-publications","Claude AI","true","120942.72","4837.71","25","25","25","1.000","0.000","0.400","8750","3750","12500","5",""
"academics-rmit-edu-au-trevor-abbott-publications","ChatGPT AI","true","178642.01","7145.68","25","25","19","1.000","0.000","0.400","8750","3750","12500","5",""
"academics-rmit-edu-au-trevor-abbott-publications","Grok AI","true","54118.58","2164.74","25","25","17","1.000","0.000","0.400","8750","3750","12500","5",""
"academic_cv_example_template_iconic","Traditional","true","6188.69","","","","","0.000","0.000","0.000","","","","",""
"academic_cv_example_template_iconic","Gemini AI","true","5091.52","1018.30","5","","","1.000","0.000","0.400","1750","750","2500","1",""
"academic_cv_example_template_iconic","Claude AI","true","9385.56","3128.52","3","","","1.000","0.000","0.400","1050","450","1500","1",""
"academic_cv_example_template_iconic","ChatGPT AI","true","8436.47","2109.12","4","","","1.000","0.000","0.400","1400","600","2000","1",""
"academic_cv_example_template_iconic","Grok AI","true","12684.64","","","","","0.000","0.000","0.000","","","","",""
"ADV_Sample_CV_MaryAskov_TenureTrack","Traditional","true","17928.79","1494.07","12","2","","1.000","0.000","0.400","2160","1440","3600","24",""
"ADV_Sample_CV_MaryAskov_TenureTrack","Gemini AI","true","21602.05","1350.13","16","7","7","1.000","0.000","0.400","5600","2400","8000","4",""
"ADV_Sample_CV_MaryAskov_TenureTrack","Claude AI","true","53687.56","4473.96","12","","","1.000","0.000","0.400","4200","1800","6000","3",""
"ADV_Sample_CV_MaryAskov_TenureTrack","ChatGPT AI","true","34822.41","2901.87","12","","","1.000","0.000","0.400","4200","1800","6000","3",""
"ADV_Sample_CV_MaryAskov_TenureTrack","Grok AI","true","32001.04","2000.07","16","6","6","1.000","0.000","0.400","5600","2400","8000","4",""
"amitabhchandra","Traditional","true","118501.07","1377.92","86","42","35","1.000","0.000","0.400","15480","10320","25800","172",""
"amitabhchandra","Gemini AI","true","73948.41","506.50","146","131","131","1.000","0.000","0.400","51100","21900","73000","30",""
"amitabhchandra","Claude AI","false","300006.59","","","","","","","","","","","","Timeout"
"amitabhchandra","ChatGPT AI","false","300003.18","","","","","","","","","","","","Timeout"
"amitabhchandra","Grok AI","true","174381.69","1417.74","123","121","118","1.000","0.000","0.400","43050","18450","61500","25",""
"arnoldhowitt","Traditional","true","95236.35","1442.98","66","8","6","1.000","0.000","0.400","11880","7920","19800","132",""
"arnoldhowitt","Gemini AI","true","104761.32","392.36","267","83","83","1.000","0.000","0.400","93450","40050","133500","54",""
"arnoldhowitt","Claude AI","false","300002.10","","","","","","","","","","","","Timeout"
"arnoldhowitt","ChatGPT AI","false","300013.24","","","","","","","","","","","","Timeout"
"arnoldhowitt","Grok AI","true","175064.07","1316.27","133","77","77","1.000","0.000","0.400","46550","19950","66500","27",""
"arthurbrooks","Traditional","true","17519.21","","","","","0.000","0.000","0.000","","","","",""
"arthurbrooks","Gemini AI","true","33587.57","","","","","0.000","0.000","0.000","","","","",""
"arthurbrooks","Claude AI","true","73994.70","3523.56","21","20","20","1.000","0.000","0.400","7349.999999999999","3150","10500","5",""
"arthurbrooks","ChatGPT AI","true","201185.64","","","","","0.000","0.000","0.000","","","","",""
"arthurbrooks","Grok AI","true","44748.43","1945.58","23","23","23","1.000","0.000","0.400","8049.999999999999","3450","11500","5",""
"asimijazkhwaja","Traditional","true","51864.14","1329.85","39","29","29","1.000","0.000","0.400","7020","4680","11700","78",""
"asimijazkhwaja","Gemini AI","true","27640.21","552.80","50","39","39","1.000","0.000","0.400","17500","7500","25000","10",""
"asimijazkhwaja","Claude AI","true","101639.73","2606.15","39","34","34","1.000","0.000","0.400","13650","5850","19500","8",""
"asimijazkhwaja","ChatGPT AI","true","286177.97","5723.56","50","31","30","1.000","0.000","0.400","17500","7500","25000","10",""
"asimijazkhwaja","Grok AI","true","114358.18","2287.16","50","37","37","1.000","0.000","0.400","17500","7500","25000","10",""
"assistant-professor-resume-example","Traditional","true","4382.11","","","","","0.000","0.000","0.000","","","","",""
"assistant-professor-resume-example","Gemini AI","true","5049.44","5049.44","1","","","1.000","0.000","0.400","350","150","500","1",""
"assistant-professor-resume-example","Claude AI","true","8738.95","4369.47","2","","","1.000","0.000","0.400","700","300","1000","1",""
"assistant-professor-resume-example","ChatGPT AI","true","6637.16","6637.16","1","","","1.000","0.000","0.400","350","150","500","1",""
"assistant-professor-resume-example","Grok AI","true","19426.23","19426.23","1","","","1.000","0.000","0.400","350","150","500","1",""
"associate-professor-resume-example","Traditional","true","3989.59","","","","","0.000","0.000","0.000","","","","",""
"associate-professor-resume-example","Gemini AI","true","4211.01","4211.01","1","","","1.000","0.000","0.400","350","150","500","1",""
"associate-professor-resume-example","Claude AI","true","8823.96","8823.96","1","","","1.000","0.000","0.400","350","150","500","1",""
"associate-professor-resume-example","ChatGPT AI","true","7594.75","3797.38","2","","","1.000","0.000","0.400","700","300","1000","1",""
"associate-professor-resume-example","Grok AI","true","18398.63","18398.63","1","","","1.000","0.000","0.400","350","150","500","1",""
"Benjamin F GoldFarb","Traditional","true","5213.54","1737.85","3","1","","1.000","0.000","0.400","540","360","900","6",""
"Benjamin F GoldFarb","Gemini AI","true","6218.27","690.92","9","1","1","1.000","0.000","0.400","3150","1350","4500","2",""
"Benjamin F GoldFarb","Claude AI","true","9905.45","3301.82","3","1","1","1.000","0.000","0.400","1050","450","1500","1",""
"Benjamin F GoldFarb","ChatGPT AI","true","5116.70","1705.57","3","","","1.000","0.000","0.400","1050","450","1500","1",""
"Benjamin F GoldFarb","Grok AI","true","19946.19","6648.73","3","1","1","1.000","0.000","0.400","1050","450","1500","1",""
"bobbehn","Traditional","true","199498.90","1295.45","154","38","33","1.000","0.000","0.400","27720","18480","46200","308",""
"bobbehn","Gemini AI","true","118723.21","","","","","0.000","0.000","0.000","","","","",""
"bobbehn","Claude AI","false","300007.80","","","","","","","","","","","","Timeout"
"bobbehn","ChatGPT AI","false","300014.34","","","","","","","","","","","","Timeout"
"bobbehn","Grok AI","true","253011.91","988.33","256","187","187","1.000","0.000","0.400","89600","38400","128000","52",""
"brianiammartino","Traditional","true","6146.57","2048.86","3","1","","1.000","0.000","0.400","540","360","900","6",""
"brianiammartino","Gemini AI","true","5409.36","1352.34","4","4","3","1.000","0.000","0.400","1400","600","2000","1",""
"brianiammartino","Claude AI","true","15871.34","3967.83","4","3","2","1.000","0.000","0.400","1400","600","2000","1",""
"brianiammartino","ChatGPT AI","true","12468.20","3117.05","4","2","1","1.000","0.000","0.400","1400","600","2000","1",""
"brianiammartino","Grok AI","true","14017.44","3504.36","4","4","4","1.000","0.000","0.400","1400","600","2000","1",""
"CHRIS J. SMITH","Traditional","true","4013.30","2006.65","2","","","1.000","0.000","0.400","360","240","600","4",""
"CHRIS J. SMITH","Gemini AI","true","4027.39","2013.70","2","1","1","1.000","0.000","0.400","700","300","1000","1",""
"CHRIS J. SMITH","Claude AI","true","36756.70","18378.35","2","","","1.000","0.000","0.400","700","300","1000","1",""
"CHRIS J. SMITH","ChatGPT AI","true","4986.48","2493.24","2","","","1.000","0.000","0.400","700","300","1000","1",""
"CHRIS J. SMITH","Grok AI","true","14164.77","7082.38","2","2","2","1.000","0.000","0.400","700","300","1000","1",""
"christopheravery","Traditional","true","51129.50","1278.24","40","35","34","1.000","0.000","0.400","7200","4800","12000","80",""
"christopheravery","Gemini AI","true","22229.61","555.74","40","40","40","1.000","0.000","0.400","14000","6000","20000","8",""
"christopheravery","Claude AI","true","90968.39","2274.21","40","40","40","1.000","0.000","0.400","14000","6000","20000","8",""
"christopheravery","ChatGPT AI","true","200359.14","5008.98","40","38","37","1.000","0.000","0.400","14000","6000","20000","8",""
"christopheravery","Grok AI","true","44215.70","1133.74","39","38","38","1.000","0.000","0.400","13650","5850","19500","8",""
"claudebruderlein","Traditional","true","45089.75","1326.17","34","12","11","1.000","0.000","0.400","6120","4080","10200","68",""
"claudebruderlein","Gemini AI","true","33233.10","405.28","82","27","24","1.000","0.000","0.400","28699.999999999996","12300","41000","17",""
"claudebruderlein","Claude AI","true","201146.70","2453.01","82","27","24","1.000","0.000","0.400","28699.999999999996","12300","41000","17",""
"claudebruderlein","ChatGPT AI","true","113757.16","1387.28","82","17","17","1.000","0.000","0.400","28699.999999999996","12300","41000","17",""
"claudebruderlein","Grok AI","true","100852.27","1420.45","71","65","62","1.000","0.000","0.400","24850","10650","35500","15",""
"college-professor-1596084798-pdf","Traditional","true","6241.39","","","","","0.000","0.000","0.000","","","","",""
"college-professor-1596084798-pdf","Gemini AI","true","6127.22","","","","","0.000","0.000","0.000","","","","",""
"college-professor-1596084798-pdf","Claude AI","true","8207.70","","","","","0.000","0.000","0.000","","","","",""
"college-professor-1596084798-pdf","ChatGPT AI","true","5891.32","","","","","0.000","0.000","0.000","","","","",""
"college-professor-1596084798-pdf","Grok AI","true","11819.21","","","","","0.000","0.000","0.000","","","","",""
"college-professor-1596085717-pdf","Traditional","true","6293.98","","","","","0.000","0.000","0.000","","","","",""
"college-professor-1596085717-pdf","Gemini AI","true","6401.21","","","","","0.000","0.000","0.000","","","","",""
"college-professor-1596085717-pdf","Claude AI","true","7468.72","","","","","0.000","0.000","0.000","","","","",""
"college-professor-1596085717-pdf","ChatGPT AI","true","5905.33","","","","","0.000","0.000","0.000","","","","",""
"college-professor-1596085717-pdf","Grok AI","true","13177.97","","","","","0.000","0.000","0.000","","","","",""
"Creating-Your-Academic-CV-11-13","Traditional","true","5712.71","1904.24","3","2","","1.000","0.000","0.400","540","360","900","6",""
"Creating-Your-Academic-CV-11-13","Gemini AI","true","8092.18","505.76","16","3","3","1.000","0.000","0.400","5600","2400","8000","4",""
"Creating-Your-Academic-CV-11-13","Claude AI","true","18426.16","3071.03","6","","","1.000","0.000","0.400","2100","900","3000","2",""
"Creating-Your-Academic-CV-11-13","ChatGPT AI","true","12429.14","2071.52","6","","","1.000","0.000","0.400","2100","900","3000","2",""
"Creating-Your-Academic-CV-11-13","Grok AI","true","18866.05","1179.13","16","3","3","1.000","0.000","0.400","5600","2400","8000","4",""
"Creating-Your-Academic-CV-14-16","Traditional","true","1583.55","","","","","0.000","0.000","0.000","","","","",""
"Creating-Your-Academic-CV-14-16","Gemini AI","true","480.73","","","","","0.000","0.000","0.000","","","","",""
"Creating-Your-Academic-CV-14-16","Claude AI","true","8285.19","1657.04","5","","","1.000","0.000","0.400","1750","750","2500","1",""
